epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.486027,0.266907,0.159093,1.75e-04,11.1
2,0.300411,0.151536,0.147321,3.00e-04,6.4
3,0.288717,0.145559,0.144148,2.98e-04,6.6
4,0.282724,0.142165,0.14174,2.95e-04,6.5
5,0.279079,0.139954,0.141081,2.90e-04,6.9
6,0.276135,0.138229,0.140474,2.83e-04,6.7
7,0.273731,0.136841,0.140341,2.75e-04,6.5
8,0.270836,0.135195,0.140766,2.65e-04,6.7
9,0.267624,0.133416,0.141544,2.54e-04,6.6
10,0.263936,0.1311,0.142767,2.41e-04,6.7
11,0.259559,0.128395,0.14414,2.27e-04,6.6
12,0.253857,0.12498,0.145373,2.13e-04,6.7
13,0.247331,0.12087,0.146525,1.97e-04,6.6
14,0.239168,0.116107,0.14941,1.81e-04,6.7
15,0.23083,0.111389,0.151834,1.65e-04,6.8
16,0.221749,0.106273,0.15326,1.48e-04,6.8
17,0.212606,0.101075,0.155504,1.32e-04,6.7
