epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.463062,0.253353,0.154459,1.75e-04,9.3
2,0.299538,0.151112,0.144914,3.00e-04,9.3
3,0.288351,0.145209,0.142585,2.98e-04,9.2
4,0.282628,0.141997,0.141047,2.95e-04,9.2
5,0.278289,0.139614,0.13979,2.90e-04,9.9
6,0.274574,0.137477,0.140234,2.83e-04,9.3
7,0.270629,0.135214,0.140015,2.75e-04,9.2
8,0.266073,0.132188,0.141645,2.65e-04,9.1
9,0.25929,0.128133,0.143327,2.54e-04,9.2
10,0.250507,0.12282,0.146186,2.41e-04,9.5
11,0.238428,0.115547,0.148018,2.27e-04,9.7
12,0.223623,0.107109,0.151896,2.13e-04,9.2
13,0.207228,0.098145,0.153597,1.97e-04,9.2
14,0.189257,0.088774,0.157709,1.81e-04,9.5
15,0.172033,0.079912,0.159453,1.65e-04,9.2
