epoch,train_loss,val_ber,lr,elapsed_s
1,0.430994,0.155959,2.99e-04,17.4
2,0.307466,0.152102,2.97e-04,3.5
3,0.302097,0.150313,2.93e-04,3.5
4,0.299026,0.14911,2.87e-04,3.6
5,0.296856,0.148529,2.80e-04,3.5
6,0.295169,0.14849,2.71e-04,3.5
7,0.29352,0.147754,2.62e-04,3.6
8,0.292404,0.147492,2.51e-04,3.5
9,0.291469,0.147471,2.38e-04,3.5
10,0.290278,0.14745,2.25e-04,6.5
11,0.289495,0.147033,2.11e-04,3.6
12,0.288592,0.147068,1.97e-04,3.5
13,0.287991,0.147486,1.82e-04,3.5
14,0.28735,0.1474,1.66e-04,3.5
15,0.286666,0.147205,1.50e-04,3.5
16,0.286105,0.147306,1.35e-04,3.5
17,0.285407,0.146926,1.19e-04,3.5
18,0.285019,0.147201,1.04e-04,3.5
19,0.284465,0.147014,8.97e-05,3.5
20,0.284088,0.147284,7.58e-05,3.5
21,0.283733,0.147276,6.26e-05,3.5
22,0.283351,0.147484,5.05e-05,3.5
23,0.283042,0.147205,3.94e-05,7.9
24,0.282854,0.147272,2.96e-05,3.8
25,0.282475,0.147344,2.10e-05,3.8
26,0.282354,0.147465,1.39e-05,3.8
27,0.282212,0.147332,8.32e-06,3.8
