phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
pretrain,1,0.31522721469688414,0.3146657934703827,0.1590556366472244,1.7381144165737032,1.7380747101635239,0.4606241817793484,0.0009939057285945933,75.0
pretrain,2,0.27306048745155337,0.27305008992385865,0.13533749707221984,2.1894612009563144,2.189441230357435,0.47211496290962157,0.0009757729755661012,59.2
pretrain,3,0.26205187648582456,0.2620405817394257,0.12964587727928162,2.3176492158561652,2.3176381907101,0.47196910001340725,0.0009460482294732422,55.2
pretrain,4,0.2595354827480316,0.2595256081142426,0.1283657171897888,2.3730751860555994,2.37305839754184,0.4734748941105049,0.0009054634122155991,52.1
pretrain,5,0.25804911564445493,0.2580452819213867,0.12764063691425323,2.46729769383516,2.4672725826616912,0.4748240960278464,0.0008550178566873411,54.9
pretrain,6,0.25694515505409243,0.2569410218410492,0.12704939711284638,2.4869306522191006,2.4869192053656985,0.47419775969375616,0.0007959536998847743,26.5
pretrain,7,0.25619709123802187,0.256194002532959,0.12664811728191375,2.5216101006549194,2.5215602572615796,0.4759266288788827,0.0007297252973710758,30.0
pretrain,8,0.25547595436286924,0.25547320474624635,0.12624811730337143,2.4876081489381336,2.4875948332962894,0.47428355707676306,0.0006579634122155991,30.9
pretrain,9,0.2548600525770187,0.2548577307853699,0.12595793725824356,2.6277159477497363,2.627707491510163,0.47438437571243275,0.0005824350601949144,29.1
pretrain,10,0.25427955928707124,0.25427762716960906,0.12566199694395067,2.4700884633900935,2.4700844213206694,0.4729729625146719,0.0005050000000000001,29.3
pretrain,11,0.2538305448465347,0.2538286009349823,0.12541331720685958,2.6258767731248027,2.6258740430223946,0.4750643414854748,0.000427564939805086,30.0
pretrain,12,0.25338227765846255,0.25338067851066587,0.12520777717542647,2.6264261409787344,2.626415526493585,0.4749163354685868,0.0003520365877844012,27.3
pretrain,13,0.25293093306159975,0.25292951628684995,0.12492989717769623,2.621731671075972,2.621725568644533,0.47565421533656194,0.00028027470262892445,29.1
pretrain,14,0.25259619580078124,0.2525949179229736,0.12477649708986283,2.6056363797402597,2.605615751674788,0.4751372705683182,0.0002140463001152259,29.8
pretrain,15,0.2522274970245361,0.25222636408901217,0.12455589680862426,2.6669431397557926,2.66693897914191,0.4747104125695902,0.00015498214331265904,40.6
pretrain,16,0.25191803944206237,0.251917000453949,0.12437563732242585,2.680042049701712,2.6800374411963843,0.47500428022974195,0.00010453658778440108,53.7
pretrain,17,0.25165078223609927,0.25164982882118225,0.12423977715682984,2.6756138014005826,2.675607114633947,0.47454095494077214,6.395177052675796e-05,52.3
pretrain,18,0.2514494191856384,0.25144852778816223,0.1241104970998764,2.6173681986787094,2.6173627412354983,0.47511581923766283,3.422702443389901e-05,47.2
pretrain,19,0.2512913846988678,0.25129051715660095,0.12401767707061767,2.6800798402227386,2.6800705804583442,0.4751866033076217,1.6094271405406862e-05,27.7
pretrain,20,0.25120560934448244,0.25120477001190183,0.12395549728775024,2.657723489210668,2.657716322845269,0.4750965124979801,1e-05,29.2
finetune,1,0.6249776712504879,0.6249630120310251,0.28055278224243696,0.3806592387761337,0.3806533248498173,0.1903882400256173,0.0002991810233575568,2.2
finetune,2,0.345462087333295,0.34545676246172896,0.17538378743077776,0.3252619372473823,0.3252584186939148,0.16635563634000383,0.0002967330663097039,2.2
finetune,3,0.31796302668308496,0.3179598587548013,0.1623857696333876,0.31246042846099137,0.3124574173908283,0.15953238280941517,0.0002926829491861254,2.3
finetune,4,0.3095510338678875,0.30954814765767374,0.15801220923315776,0.30734248718239626,0.3073399515685888,0.15703345835848154,0.00028707504591756876,2.2
finetune,5,0.30533079522430845,0.30532812647255303,0.155674645139138,0.30406178539784257,0.30405925012923574,0.15524452550761028,0.00027997079786577355,8.1
finetune,6,0.3027523695397718,0.30274954647970376,0.15430285102014366,0.30232181150429444,0.3023191494575543,0.1540969528197117,0.0002714480406590546,5.2
finetune,7,0.30096522143940835,0.30096220092957593,0.15346402750141563,0.30097631840990213,0.300973938865142,0.15355212148398814,0.0002616001514088704,4.6
finetune,8,0.299827247422243,0.2998241168167028,0.15267876913550837,0.30006866180707537,0.3000663975209752,0.1530351743824438,0.0002505350256506492,3.9
finetune,9,0.2985538034710084,0.29855109814839204,0.15203733144482545,0.2991388169980673,0.2991365487357671,0.152792787466219,0.00023837389521772463,4.0
finetune,10,0.297605563494509,0.297603274315693,0.15150757570403756,0.2985509750491199,0.2985487734616851,0.15239381578565922,0.00022524999999999992,4.0
finetune,11,0.29691755083448995,0.2969151585200672,0.15102120822240572,0.29814590282933184,0.2981439170945821,0.15248605387116748,0.0002113071281398321,4.0
finetune,12,0.29613571639289316,0.2961334105034494,0.1505723352989442,0.2977330670725987,0.29773013230456347,0.15196696127090062,0.00019669804065905458,6.9
finetune,13,0.29575315866525764,0.29575095377709604,0.1503677190992776,0.29734410663266797,0.2973420649114876,0.15174602857478847,0.00018158279777725494,4.1
finetune,14,0.295166376244435,0.2951641012316594,0.15005918570783539,0.29700330957124693,0.2970014873081806,0.1519669630480447,0.00016612700525851415,4.1
finetune,15,0.29476818804078353,0.2947662616811776,0.1497718106435078,0.2971154844515419,0.2971136318747448,0.15184040926316938,0.0001505,4.2
finetune,16,0.29430208741146724,0.29430016318618585,0.14960843858801115,0.29675136229757687,0.2967492709442148,0.1516323430964692,0.0001348729947414858,4.4
finetune,17,0.2940324928302822,0.29403049639235657,0.14940194649745261,0.2963678548643897,0.29636596163062773,0.15127412875749072,0.00011941720222274492,4.2
finetune,18,0.2937568295087548,0.2937547510661529,0.14932963347050596,0.296475096853032,0.29646791641111797,0.15136207052051434,0.00010430195934094534,4.2
finetune,19,0.29342407738908943,0.29342180407164126,0.1490733278468806,0.2960120343384647,0.2960101225150087,0.1512676933161029,8.969287186016786e-05,7.1
finetune,20,0.2931508398367638,0.29314898634111436,0.14893405830028758,0.29609638590610166,0.29609454486156317,0.15128914301025156,7.575000000000001e-05,4.1
finetune,21,0.2929855956282369,0.2929836717062626,0.14884674842911633,0.2959866614134104,0.29598431544260934,0.15110681759907113,6.262610478227527e-05,3.9
finetune,22,0.2927049509608258,0.2927031521051619,0.14870881882488546,0.29583935419769564,0.2958373662127491,0.1511754569757757,5.046497434935074e-05,4.0
finetune,23,0.292638773228591,0.2926369340362684,0.14865311146232643,0.2957768160122651,0.2957750822995569,0.15135349293012876,3.939984859112959e-05,4.0
finetune,24,0.2924331417792649,0.292431321492556,0.1485703538380321,0.2957286747138115,0.29572681421018476,0.15118403975695616,2.9551959340945373e-05,3.9
finetune,25,0.2923375013679932,0.2923357572129763,0.1484723310536287,0.2957000149672045,0.2956983372409269,0.15123337482956029,2.1029202134226415e-05,3.9
finetune,26,0.2922754703458053,0.2922737979644355,0.14844474430379617,0.29570514142692267,0.2957035105584364,0.15117331269804063,1.3924954082431155e-05,4.0
finetune,27,0.29221917913533335,0.2922174922239545,0.14834109732996026,0.2956109707803493,0.2956092725593816,0.15123766449734358,8.317050813874547e-06,6.9
finetune,28,0.2921508276997014,0.2921491598599571,0.14841903473391097,0.2956682156462978,0.2956663331009706,0.15117116723767374,4.26693369029605e-06,4.0
finetune,29,0.29213536631263465,0.29213370641794145,0.14835207778803824,0.29565282226733924,0.2956511944928736,0.15115829813204218,1.8189766424431266e-06,3.9
finetune,30,0.2921175729309563,0.2921159386162306,0.1483389548528328,0.2956696471294483,0.295667988862259,0.1511861844502105,1e-06,4.1
