epoch,train_loss,val_ber,lr,elapsed_s
1,0.438398,0.162939,2.99e-04,15.6
2,0.311456,0.156111,2.97e-04,3.2
3,0.303382,0.153737,2.93e-04,3.3
4,0.300213,0.152731,2.87e-04,6.2
5,0.297921,0.152606,2.80e-04,3.2
6,0.296667,0.151589,2.71e-04,3.2
7,0.295254,0.151201,2.62e-04,3.2
8,0.294027,0.151345,2.51e-04,3.2
9,0.293165,0.151137,2.38e-04,3.3
10,0.292435,0.150686,2.25e-04,3.3
11,0.291608,0.150924,2.11e-04,3.6
12,0.29101,0.150405,1.97e-04,3.3
13,0.29027,0.150571,1.82e-04,3.7
14,0.289544,0.150594,1.66e-04,6.5
15,0.288968,0.15024,1.50e-04,3.7
16,0.288523,0.150528,1.35e-04,3.6
17,0.287917,0.150502,1.19e-04,3.5
18,0.287452,0.15042,1.04e-04,3.6
19,0.287116,0.150538,8.97e-05,3.5
20,0.286531,0.150575,7.58e-05,3.3
21,0.286179,0.150354,6.26e-05,3.2
22,0.28592,0.150712,5.05e-05,3.3
23,0.285755,0.150671,3.94e-05,6.3
24,0.285496,0.150744,2.96e-05,3.4
25,0.28523,0.150695,2.10e-05,3.4
