epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.805871,0.326178,0.200358,1.75e-04,6.2
2,0.322242,0.166452,0.153584,3.00e-04,6.4
3,0.295287,0.150934,0.148726,2.98e-04,6.4
4,0.289709,0.147603,0.146669,2.95e-04,6.4
5,0.286901,0.145741,0.145888,2.90e-04,6.4
6,0.28451,0.1442,0.146077,2.83e-04,6.3
7,0.283008,0.143208,0.143801,2.75e-04,6.4
8,0.281432,0.14222,0.143591,2.65e-04,6.4
9,0.279689,0.141098,0.143108,2.54e-04,6.3
10,0.278405,0.140349,0.143981,2.41e-04,6.3
11,0.277293,0.13968,0.141746,2.27e-04,6.4
12,0.276241,0.139071,0.141328,2.13e-04,6.4
13,0.275367,0.138596,0.141695,1.97e-04,6.4
14,0.274318,0.137825,0.141313,1.81e-04,6.3
15,0.273459,0.137436,0.141429,1.65e-04,6.5
16,0.27255,0.136786,0.14142,1.48e-04,6.2
17,0.271572,0.136292,0.141549,1.32e-04,6.5
18,0.270709,0.135679,0.141529,1.15e-04,6.7
19,0.269842,0.13515,0.141562,9.94e-05,7.1
20,0.269138,0.134752,0.141609,8.41e-05,6.2
21,0.268482,0.134401,0.141883,6.97e-05,6.3
22,0.267875,0.134155,0.141795,5.62e-05,6.1
23,0.267285,0.133772,0.141954,4.39e-05,6.1
24,0.266729,0.133399,0.141946,3.30e-05,6.1
