epoch,train_loss,val_ber,lr,elapsed_s
1,0.461021,0.164206,2.99e-04,19.7
2,0.311363,0.155684,2.97e-04,3.8
3,0.302044,0.1529,2.93e-04,3.8
4,0.297669,0.151643,2.87e-04,3.8
5,0.294826,0.149983,2.80e-04,3.9
6,0.292702,0.148936,2.71e-04,6.8
7,0.291082,0.148818,2.62e-04,3.8
8,0.289949,0.148404,2.51e-04,3.9
9,0.289001,0.148183,2.38e-04,3.8
10,0.288193,0.148127,2.25e-04,3.8
11,0.287318,0.147789,2.11e-04,3.8
12,0.286618,0.14816,1.97e-04,3.8
13,0.285993,0.148145,1.82e-04,3.8
14,0.285585,0.147999,1.66e-04,3.9
15,0.284891,0.147778,1.50e-04,6.8
16,0.284447,0.147906,1.35e-04,3.8
17,0.28411,0.147919,1.19e-04,3.8
18,0.283477,0.147945,1.04e-04,3.8
19,0.283195,0.148052,8.97e-05,3.8
20,0.282814,0.147967,7.58e-05,3.7
21,0.28251,0.147992,6.26e-05,3.8
22,0.282281,0.147855,5.05e-05,3.8
23,0.282024,0.147846,3.94e-05,6.8
24,0.281824,0.14799,2.96e-05,3.8
25,0.281709,0.147949,2.10e-05,3.9
