phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
pretrain,1,0.5617670597763061,0.5612567257785797,0.3446530719976425,1.1342552215538533,1.1341796809130602,0.43261474983367937,0.0009939057285945933,27.7
pretrain,2,0.36218210107040405,0.3621416082019806,0.1790945958623886,1.1713271843727338,1.1712853460545092,0.4359588087218762,0.0009757729755661012,26.9
pretrain,3,0.3468608556613922,0.3468358308982849,0.17269281631183625,1.5004563732548162,1.5004497767517568,0.44953237946378166,0.0009460482294732422,26.4
pretrain,4,0.3283336035938263,0.32831844821357725,0.16333875645160675,1.6857480624876837,1.6857068113174012,0.46358428971545473,0.0009054634122155991,26.5
pretrain,5,0.2952977881603241,0.29528415049934387,0.14489469689178466,1.8988992034596264,1.8988942393720636,0.46679750277933674,0.0008550178566873411,26.4
pretrain,6,0.287246041677475,0.2872382038230896,0.14103923693275452,1.9261780553291612,1.9261463918894568,0.4675289455374542,0.0007959536998847743,26.4
pretrain,7,0.2829492232055664,0.282943978055954,0.13893901714515686,1.9006761032232957,1.9006471602203814,0.4713770811622207,0.0007297252973710758,26.4
pretrain,8,0.28010295384025574,0.28009717386054994,0.1375476769914627,1.984331842043634,1.9843118424479003,0.47265978825547467,0.0006579634122155991,26.4
pretrain,9,0.27751863128852844,0.27751516817092897,0.1362862769098282,2.1282889755024823,2.1282654520474193,0.4729214819113823,0.0005824350601949144,26.5
pretrain,10,0.2756956457939148,0.27569154691123965,0.13542575690937042,2.0713296979857536,2.0713235280484104,0.47301586594309536,0.0005050000000000001,26.3
pretrain,11,0.2742298513374329,0.27422655452919004,0.1347396169719696,2.09106357626422,2.0910588657840647,0.4731896089950072,0.000427564939805086,25.3
pretrain,12,0.27285234389305113,0.2728496416225433,0.13411875713157653,2.096225244811756,2.0962062898698868,0.4743779412491134,0.0003520365877844012,24.8
pretrain,13,0.27153467180633545,0.2715329617652893,0.13358847701931,2.1913266261725504,2.1913210171479003,0.4746181840602035,0.00028027470262892445,24.7
pretrain,14,0.2701518831348419,0.27015043784713744,0.133138996884346,2.287709088859411,2.287693003225306,0.47538180395494145,0.0002140463001152259,24.8
pretrain,15,0.26903209514141085,0.26903092681121826,0.13270789725112914,2.293379620593385,2.2933757618127184,0.475115822370039,0.00015498214331265904,24.8
pretrain,16,0.2680923592338562,0.2680913578090668,0.13235049719905853,2.3952934343075354,2.395284469523485,0.4759823980376425,0.00010453658778440108,24.8
pretrain,17,0.26735658544921875,0.26735582870864866,0.13203187727928162,2.3755326574833697,2.3755259459645695,0.47604889536763095,6.395177052675796e-05,24.7
pretrain,18,0.26674135189056397,0.2667406983470917,0.13176777693748473,2.416529458564323,2.4165215783751304,0.47610466285152836,3.422702443389901e-05,24.7
pretrain,19,0.2662756080741882,0.26627501468086245,0.13158033695316315,2.416364213828108,2.416353640767036,0.47662161695297467,1.6094271405406862e-05,24.8
pretrain,20,0.26600017455482483,0.2659996030921936,0.13146981708431243,2.3996597595452136,2.3996492912205745,0.47658514374318117,1e-05,24.7
finetune,1,0.6273590977685262,0.6273053400827097,0.33916116972435484,0.4753467691962374,0.47534328975272455,0.2438824458254708,0.0002991810233575568,2.1
finetune,2,0.44342650093584796,0.44342255584045154,0.22926455087641692,0.3921702668703661,0.39216793677879475,0.20255898242214626,0.0002967330663097039,2.1
finetune,3,0.37513026681478384,0.3751280696146604,0.1939380755143669,0.35607064100152586,0.35606879584015005,0.18426425989632544,0.0002926829491861254,2.1
finetune,4,0.3567152156946176,0.3567127950768484,0.18469065889844655,0.34726613605293477,0.3472618565749631,0.18018017780852388,0.00028707504591756876,2.2
finetune,5,0.34967216392450734,0.3496691832500787,0.18158336884016726,0.3420568782339174,0.3420552210279004,0.17739382016715038,0.00027997079786577355,2.1
finetune,6,0.34520641689870374,0.34520445939264577,0.1793360612048124,0.33861701862334387,0.338614466657254,0.17613255572978748,0.0002714480406590546,2.1
finetune,7,0.34181397244979944,0.34181169189767746,0.17761957920787227,0.3359828386399839,0.3359812816955766,0.17468682463999624,0.0002616001514088704,2.1
finetune,8,0.33928987522405946,0.3392878603035537,0.17604156216665662,0.3334468116273393,0.33344583676793144,0.17325396331427487,0.0002505350256506492,2.1
finetune,9,0.335954889970393,0.3359531534730836,0.17416786817396082,0.33076265661412685,0.33076154514475986,0.17134491201763447,0.00023837389521772463,2.2
