epoch,steps,train_loss,synth_val_loss,synth_val_ber,zhu_val_ber,lr,elapsed_s
1,1954,0.275026,0.234776,0.12086,0.455882,9.99e-04,77.3
2,3908,0.227548,0.227254,0.116738,0.467162,9.95e-04,64.7
3,5862,0.224554,0.225315,0.116224,0.46601,9.88e-04,65.4
4,7816,0.223268,0.224897,0.115722,0.465736,9.78e-04,65.0
5,9770,0.222428,0.224067,0.115642,0.461068,9.66e-04,65.3
6,11724,0.221778,0.22294,0.115084,0.462553,9.50e-04,62.5
7,13678,0.221282,0.22258,0.114968,0.462177,9.31e-04,63.8
8,15632,0.220851,0.222302,0.114698,0.462072,9.10e-04,64.5
9,17586,0.220394,0.221919,0.114362,0.464286,8.86e-04,65.7
10,19540,0.21982,0.221282,0.114105,0.463076,8.60e-04,67.0
11,21494,0.219258,0.22105,0.114038,0.463655,8.32e-04,66.5
12,23448,0.21885,0.220967,0.114274,0.460429,8.02e-04,67.3
13,25402,0.218536,0.220517,0.113726,0.462458,7.69e-04,63.6
14,27356,0.218277,0.220362,0.113623,0.465386,7.36e-04,68.8
15,29310,0.218029,0.220095,0.113542,0.461238,7.00e-04,65.7
16,31264,0.217834,0.219954,0.113436,0.462613,6.64e-04,66.2
17,33218,0.217635,0.219872,0.113393,0.464417,6.26e-04,62.8
18,35172,0.217475,0.219877,0.113308,0.463614,5.88e-04,64.4
19,37126,0.217299,0.219788,0.11334,0.465764,5.49e-04,64.8
20,39080,0.217132,0.219728,0.113298,0.462681,5.10e-04,56.5
21,41034,0.21702,0.219799,0.11339,0.46313,4.71e-04,58.0
22,42988,0.216869,0.219723,0.113253,0.462921,4.32e-04,54.9
23,44942,0.216749,0.219533,0.113166,0.465122,3.94e-04,57.4
24,46896,0.216612,0.219526,0.113228,0.462317,3.56e-04,57.4
25,48850,0.21649,0.219576,0.113187,0.46175,3.19e-04,54.7
26,50804,0.216368,0.219521,0.113207,0.465019,2.83e-04,57.5
27,52758,0.216276,0.219474,0.113173,0.464163,2.49e-04,54.4
28,54712,0.216173,0.219588,0.113199,0.462823,2.16e-04,57.7
29,56666,0.216067,0.219563,0.113099,0.463134,1.86e-04,57.4
30,58620,0.215982,0.219467,0.113153,0.462874,1.57e-04,54.7
31,60574,0.215899,0.219413,0.11309,0.463631,1.30e-04,57.8
32,62528,0.215819,0.219493,0.113132,0.463664,1.06e-04,53.0
33,64482,0.215753,0.21944,0.113167,0.462928,8.39e-05,58.9
34,66436,0.215687,0.219409,0.113101,0.463383,6.46e-05,57.8
35,68390,0.21564,0.219448,0.113157,0.463112,4.82e-05,54.4
36,70344,0.215591,0.219438,0.113101,0.463421,3.45e-05,57.4
37,72298,0.215549,0.219415,0.113122,0.462954,2.39e-05,53.8
38,74252,0.215531,0.219413,0.113128,0.46243,1.62e-05,57.8
39,76206,0.215512,0.219411,0.113159,0.462503,1.15e-05,54.3
