epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,1.020996,0.344031,0.180116,1.75e-04,13.4
2,0.324305,0.165265,0.158282,3.00e-04,4.3
3,0.306879,0.156105,0.155217,2.98e-04,4.3
4,0.301943,0.153545,0.153526,2.95e-04,4.3
5,0.299276,0.152008,0.152501,2.90e-04,4.3
6,0.297297,0.151001,0.151281,2.83e-04,4.3
7,0.295632,0.150091,0.151047,2.75e-04,4.4
8,0.294221,0.149301,0.150176,2.65e-04,4.3
9,0.292934,0.148635,0.150313,2.54e-04,4.6
10,0.291817,0.147999,0.149865,2.41e-04,4.3
11,0.290947,0.14755,0.149717,2.27e-04,4.4
12,0.290112,0.147038,0.149247,2.13e-04,4.2
13,0.289525,0.146702,0.149026,1.97e-04,4.2
14,0.288628,0.146195,0.148887,1.81e-04,4.4
15,0.288091,0.145959,0.149101,1.65e-04,4.5
16,0.287394,0.145489,0.148814,1.48e-04,4.4
17,0.286842,0.145318,0.148773,1.32e-04,4.3
18,0.28634,0.14487,0.148912,1.15e-04,4.2
19,0.285811,0.14452,0.149151,9.94e-05,4.3
20,0.285443,0.144386,0.149121,8.41e-05,4.2
21,0.285083,0.144103,0.149058,6.97e-05,4.2
22,0.28478,0.143946,0.148979,5.62e-05,4.3
23,0.284435,0.143736,0.148977,4.39e-05,4.3
24,0.284183,0.14362,0.14882,3.30e-05,4.2
25,0.284064,0.143432,0.1489,2.35e-05,4.3
26,0.283788,0.143315,0.148923,1.55e-05,4.2
27,0.283645,0.143314,0.148902,9.22e-06,4.3
