epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.92901,0.35094,0.201905,1.75e-04,4.2
2,0.335396,0.173248,0.157956,3.00e-04,4.5
3,0.307524,0.157803,0.153097,2.98e-04,4.2
4,0.301385,0.154157,0.150892,2.95e-04,4.3
5,0.297683,0.151936,0.14935,2.90e-04,4.2
6,0.295376,0.150409,0.148063,2.83e-04,4.3
7,0.293407,0.14921,0.147825,2.75e-04,4.4
8,0.291869,0.148208,0.146804,2.65e-04,4.3
9,0.290525,0.147285,0.146319,2.54e-04,4.2
10,0.289322,0.146534,0.145674,2.41e-04,4.2
11,0.288107,0.145823,0.145358,2.27e-04,4.2
12,0.286988,0.145386,0.145011,2.13e-04,4.3
13,0.28637,0.144721,0.144447,1.97e-04,4.4
14,0.285305,0.144189,0.144356,1.81e-04,4.5
15,0.284777,0.143761,0.144163,1.65e-04,4.3
16,0.28404,0.143524,0.143769,1.48e-04,4.4
17,0.28349,0.143218,0.144447,1.32e-04,4.3
18,0.282841,0.14281,0.143904,1.15e-04,4.2
19,0.282341,0.1426,0.144129,9.94e-05,4.3
20,0.282001,0.142354,0.143861,8.41e-05,4.2
21,0.28147,0.142065,0.144024,6.97e-05,4.3
22,0.281119,0.141761,0.143895,5.62e-05,4.4
23,0.280834,0.141635,0.143805,4.39e-05,4.3
24,0.280668,0.141551,0.144058,3.30e-05,4.4
25,0.280337,0.141366,0.14385,2.35e-05,4.2
26,0.280225,0.141269,0.143855,1.55e-05,4.2
