epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,1.024012,0.344881,0.178039,1.75e-04,4.3
2,0.325048,0.165745,0.155395,3.00e-04,4.3
3,0.30732,0.156622,0.151802,2.98e-04,4.2
4,0.302733,0.153995,0.150641,2.95e-04,4.3
5,0.299798,0.152524,0.149324,2.90e-04,4.2
6,0.297889,0.151481,0.148702,2.83e-04,4.2
7,0.296157,0.150401,0.148612,2.75e-04,4.2
8,0.294688,0.14954,0.148044,2.65e-04,4.2
9,0.293649,0.149063,0.14802,2.54e-04,4.5
10,0.292545,0.148315,0.14751,2.41e-04,4.3
11,0.291623,0.147827,0.14742,2.27e-04,4.3
12,0.290628,0.147316,0.147287,2.13e-04,4.4
13,0.290066,0.146886,0.146969,1.97e-04,4.3
14,0.289125,0.14639,0.147061,1.81e-04,4.3
15,0.288649,0.145969,0.146969,1.65e-04,4.2
16,0.28792,0.145745,0.146452,1.48e-04,4.1
17,0.287432,0.145459,0.14701,1.32e-04,4.2
18,0.286846,0.145013,0.146716,1.15e-04,4.3
19,0.28634,0.144734,0.14684,9.94e-05,4.2
20,0.286005,0.144517,0.147115,8.41e-05,4.2
21,0.2855,0.144205,0.146997,6.97e-05,4.3
22,0.285188,0.144095,0.146894,5.62e-05,4.3
23,0.284886,0.143892,0.146759,4.39e-05,4.2
24,0.284714,0.143807,0.146954,3.30e-05,4.2
25,0.284412,0.143647,0.14692,2.35e-05,4.3
26,0.28428,0.143474,0.146909,1.55e-05,4.3
