epoch,steps,train_loss,synth_val_loss,synth_val_ber,zhu_val_ber,lr,elapsed_s
1,977,0.303942,0.24887,0.128091,0.450837,1.00e-03,45.2
2,1954,0.24188,0.232809,0.11964,0.456454,9.97e-04,29.0
3,2931,0.228693,0.227497,0.11716,0.468241,9.90e-04,28.6
4,3908,0.22601,0.226116,0.116561,0.469082,9.81e-04,28.6
5,4885,0.2248,0.225569,0.116536,0.467214,9.69e-04,28.6
6,5862,0.223986,0.225103,0.116083,0.461111,9.54e-04,29.8
7,6839,0.223331,0.225159,0.1164,0.457263,9.36e-04,28.9
8,7816,0.222784,0.223792,0.115496,0.460719,9.15e-04,28.6
9,8793,0.222298,0.223963,0.115502,0.462518,8.91e-04,28.5
10,9770,0.221889,0.223554,0.115251,0.455453,8.66e-04,28.5
11,10747,0.221547,0.22343,0.115115,0.462887,8.37e-04,29.2
12,11724,0.221231,0.223036,0.114991,0.456072,8.07e-04,29.3
13,12701,0.220942,0.222798,0.115055,0.45976,7.75e-04,28.8
14,13678,0.220644,0.222733,0.114918,0.465197,7.41e-04,28.5
15,14655,0.22034,0.222671,0.114957,0.463316,7.06e-04,28.5
16,15632,0.220105,0.222637,0.114891,0.462246,6.69e-04,28.7
17,16609,0.219839,0.222715,0.114781,0.464187,6.32e-04,28.5
18,17586,0.219624,0.222523,0.114877,0.457261,5.93e-04,28.5
19,18563,0.219372,0.222324,0.114772,0.46142,5.54e-04,28.9
20,19540,0.219193,0.222394,0.114862,0.461298,5.15e-04,28.6
21,20517,0.218969,0.222476,0.114834,0.454927,4.76e-04,28.4
22,21494,0.218774,0.222321,0.114754,0.458316,4.37e-04,28.4
23,22471,0.218548,0.222284,0.114644,0.458715,3.98e-04,28.6
24,23448,0.218402,0.222404,0.114838,0.460006,3.60e-04,28.5
25,24425,0.218213,0.222486,0.114822,0.456795,3.23e-04,29.4
26,25402,0.218038,0.222325,0.114731,0.454603,2.87e-04,28.6
27,26379,0.217857,0.222478,0.114855,0.460727,2.52e-04,28.7
28,27356,0.217703,0.222612,0.115084,0.45962,2.19e-04,28.7
