epoch,train_loss,val_ber,lr,elapsed_s
1,0.467331,0.163775,2.99e-04,18.1
2,0.312317,0.156804,2.97e-04,3.3
3,0.30367,0.154058,2.93e-04,3.3
4,0.300152,0.152645,2.87e-04,3.4
5,0.297808,0.152475,2.80e-04,3.3
6,0.296483,0.151388,2.71e-04,3.3
7,0.295071,0.151019,2.62e-04,3.3
8,0.29385,0.150845,2.51e-04,3.3
9,0.293031,0.15077,2.38e-04,6.2
10,0.292267,0.150294,2.25e-04,3.2
11,0.291478,0.150461,2.11e-04,3.3
12,0.290923,0.150004,1.97e-04,3.3
13,0.290225,0.150058,1.82e-04,3.3
14,0.289524,0.149773,1.66e-04,3.3
15,0.28898,0.149743,1.50e-04,3.3
16,0.288628,0.149938,1.35e-04,3.3
17,0.28805,0.149738,1.19e-04,3.3
18,0.28767,0.1497,1.04e-04,3.3
19,0.287357,0.149918,8.97e-05,6.2
20,0.286886,0.149966,7.58e-05,3.2
21,0.286559,0.149858,6.26e-05,3.2
22,0.286301,0.149691,5.05e-05,3.3
23,0.286179,0.149693,3.94e-05,3.4
24,0.28596,0.149676,2.96e-05,3.3
25,0.285737,0.149811,2.10e-05,3.3
26,0.285505,0.149755,1.39e-05,3.3
27,0.285404,0.149811,8.32e-06,3.3
28,0.285338,0.149828,4.27e-06,3.5
29,0.285276,0.149865,1.82e-06,6.5
30,0.28533,0.14979,1.00e-06,3.8
