epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,1.001976,0.324217,0.176555,1.75e-04,13.6
2,0.30712,0.156943,0.145459,3.00e-04,13.4
3,0.284731,0.143279,0.141416,2.98e-04,13.4
4,0.279758,0.140439,0.140084,2.95e-04,13.4
5,0.277268,0.138919,0.139374,2.90e-04,13.3
6,0.275079,0.137745,0.138975,2.83e-04,13.4
7,0.273581,0.136856,0.138027,2.75e-04,13.2
8,0.271967,0.135946,0.137967,2.65e-04,13.1
9,0.270434,0.135009,0.138016,2.54e-04,14.3
10,0.268782,0.134133,0.138692,2.41e-04,14.0
11,0.267428,0.133229,0.137827,2.27e-04,13.6
12,0.265661,0.132152,0.138145,2.13e-04,13.4
13,0.264021,0.131324,0.138653,1.97e-04,13.7
14,0.261874,0.130241,0.13917,1.81e-04,13.7
15,0.259551,0.12891,0.139545,1.65e-04,13.5
16,0.257011,0.127441,0.140371,1.48e-04,13.8
17,0.254185,0.126049,0.141448,1.32e-04,14.0
18,0.251022,0.124201,0.141594,1.15e-04,13.6
19,0.247785,0.122689,0.14258,9.94e-05,13.6
20,0.244398,0.120718,0.143625,8.41e-05,13.5
21,0.241389,0.119193,0.144753,6.97e-05,13.6
