epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.906219,0.32457,0.17971,1.75e-04,13.4
2,0.309198,0.158237,0.146169,3.00e-04,13.3
3,0.284736,0.143801,0.140129,2.98e-04,13.4
4,0.279927,0.140485,0.137827,2.95e-04,13.5
5,0.276409,0.138446,0.136976,2.90e-04,13.2
6,0.273912,0.13703,0.135285,2.83e-04,13.3
7,0.27216,0.135936,0.135011,2.75e-04,14.0
8,0.270756,0.134858,0.135172,2.65e-04,13.3
9,0.269313,0.134185,0.134425,2.54e-04,14.0
10,0.268096,0.133456,0.134897,2.41e-04,13.7
11,0.266408,0.132299,0.135249,2.27e-04,13.8
12,0.264721,0.131552,0.133951,2.13e-04,13.4
13,0.263436,0.130532,0.134961,1.97e-04,13.4
14,0.261488,0.129648,0.134871,1.81e-04,13.5
15,0.259785,0.128491,0.135341,1.65e-04,13.6
16,0.257637,0.127532,0.135804,1.48e-04,13.1
17,0.255202,0.126249,0.137012,1.32e-04,13.2
18,0.252608,0.124856,0.137501,1.15e-04,13.6
19,0.249739,0.123373,0.137917,9.94e-05,13.4
20,0.246988,0.122086,0.138664,8.41e-05,13.3
21,0.244092,0.120505,0.139635,6.97e-05,13.5
22,0.241525,0.119052,0.140332,5.62e-05,13.2
