phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
finetune,1,0.6125270380505893,0.608689431677966,0.3632251242124515,0.47770283969877514,0.4774762045564901,0.24015872751321468,0.0002991810233575568,19.9
finetune,2,0.41458987690517546,0.4143415076037647,0.20938882181427207,0.3728900701127202,0.37276421707876245,0.19034533912866528,0.0002967330663097039,4.1
finetune,3,0.35880187981206213,0.358642254659095,0.18325860616454442,0.3491404278500302,0.3490339827634704,0.17900042485802126,0.0002926829491861254,4.4
finetune,4,0.34345369289917355,0.3433538385266771,0.17565027202173092,0.33972162491566427,0.3396743977213049,0.17421063732200812,0.00028707504591756876,7.4
finetune,5,0.3371269864877397,0.337033064514231,0.17226498059553674,0.3349210724893019,0.33485705951721767,0.1716730973332903,0.00027997079786577355,4.5
finetune,6,0.3327090396285472,0.33260601928170375,0.16995714472117796,0.3314829135672415,0.3314315567759166,0.16985842749214336,0.0002714480406590546,4.4
finetune,7,0.3295836629424534,0.3295272866287831,0.1686375774034084,0.3289469213175804,0.32887664350354584,0.1685499746635307,0.0002616001514088704,4.3
finetune,8,0.32753590782336556,0.3274786178368034,0.16742487203468884,0.32764642162417096,0.32757179287563115,0.16766837945008983,0.0002505350256506492,4.4
finetune,9,0.3255683686888539,0.32552164116479937,0.16645079628618842,0.32620076498265227,0.32613078655985894,0.1671664456615935,0.00023837389521772463,4.4
finetune,10,0.32440440760688655,0.32434037453559067,0.1657863263697481,0.3251959087765815,0.3251658253841572,0.16629343392612697,0.00022524999999999992,4.4
finetune,11,0.32232017365979027,0.3222850119973731,0.1649555384049591,0.3236125741890703,0.32358518171238826,0.16572500810071872,0.0002113071281398321,7.3
finetune,12,0.32119748922853797,0.3211525671147746,0.16434409680124637,0.3232348956477739,0.3232057928041755,0.16543543369460137,0.00019669804065905458,4.4
finetune,13,0.32009393291881033,0.3200630217948643,0.1637972000669262,0.3224155155950634,0.322363134005304,0.1650707817215717,0.00018158279777725494,4.3
finetune,14,0.3192591298082414,0.3192205150194202,0.1634010894127169,0.3218666383351752,0.3218415146194165,0.1647125659570424,0.00016612700525851415,4.5
finetune,15,0.3182785090489459,0.3182481612350275,0.1630261367056901,0.32100010979385246,0.3209735523703169,0.164776915352726,0.0001505,4.5
finetune,16,0.31778969345634767,0.3177595374187536,0.16262493650715545,0.3206348300670565,0.32061305621671654,0.16461389647027241,0.0001348729947414858,4.4
finetune,17,0.3169654050629513,0.31693865231520313,0.1623054219400744,0.3203170297356544,0.32029084840182936,0.16420420058829138,0.00011941720222274492,4.5
finetune,18,0.31639411930860645,0.31636278533138645,0.16199072986494792,0.3200521718172084,0.32002798284087147,0.16419776396427171,0.00010430195934094534,7.5
finetune,19,0.3160156147463026,0.3159895860773372,0.16174727810796286,0.31981382588366486,0.3197908165474298,0.16380523026935637,8.969287186016786e-05,4.5
finetune,20,0.3153836136427707,0.31535661689718814,0.1614387446199413,0.31949362363338674,0.3194676948457969,0.1637709093088758,7.575000000000001e-05,4.4
finetune,21,0.3149783914301454,0.31495354808872966,0.16126385692727924,0.31922159574411296,0.31919893631348023,0.16390175721717976,6.262610478227527e-05,4.4
finetune,22,0.3145983852196649,0.3145755506687577,0.16114467453309123,0.31914272849419656,0.31912169196686485,0.1638052304419567,5.046497434935074e-05,4.4
finetune,23,0.3143119351942657,0.3142894515394047,0.16091997106608213,0.31893607090594484,0.31891403160909376,0.1637087065561909,3.939984859112959e-05,4.1
finetune,24,0.3140120719144389,0.31399040195764283,0.16080400341882967,0.31883307193185784,0.31881224694859567,0.16349635030618812,2.9551959340945373e-05,4.5
finetune,25,0.3138791004634707,0.31385696923715517,0.1606609856710736,0.3188051707061357,0.31878417534717723,0.1636229053440139,2.1029202134226415e-05,7.3
finetune,26,0.3136922078648826,0.3136705243199261,0.1606165273921696,0.3188055156638621,0.318783035737565,0.1636078929706788,1.3924954082431155e-05,4.3
finetune,27,0.31362906804752183,0.31360717339918986,0.16057849605217303,0.31879110324285614,0.31877009561009695,0.1635907309242504,8.317050813874547e-06,4.4
finetune,28,0.3135210067022593,0.3134989806500939,0.1605225210657487,0.3188226518202421,0.31880150381867234,0.16360360159607007,4.26693369029605e-06,4.3
finetune,29,0.313428336779085,0.3134071168119749,0.1604986850305377,0.3186938309173428,0.3186732565881049,0.1634169829308552,1.8189766424431266e-06,4.5
finetune,30,0.3133574919080216,0.3133366539051884,0.16048475750765642,0.3187357906311277,0.31871512791773937,0.16346631971028475,1e-06,4.5
