epoch,trn_loss,trn_ber,val_loss,val_ber,seconds
1,0.2503982484364613,0.49993008707209363,0.2500254354191563,0.5015937217899987,73.97141003608704
2,0.24980888687917457,0.4930874613572204,0.24711224804973972,0.455021438681481,51.01947474479675
3,0.21462543838165513,0.35386575857191643,0.17000523667921585,0.2508429794391303,50.48495888710022
4,0.16528228432062997,0.24790855881882898,0.13188422355898355,0.1852059174586345,51.66319704055786
5,0.14632322267795378,0.2149394671759178,0.11775878023201179,0.16481981122509087,50.72729158401489
6,0.13740315026303773,0.20075070473998888,0.110874181475086,0.15570355656447712,50.862197399139404
7,0.13190546836146289,0.19196100034706848,0.10693531888063657,0.15181252485638982,52.72309589385986
8,0.12842189373533397,0.1864489220951575,0.1061744961179617,0.15187472903462554,50.85389518737793
9,0.1255965480060415,0.18187101188833785,0.1045760757476411,0.14998069174782702,50.33592486381531
10,0.12331553749794799,0.17803631293188749,0.10351219281061992,0.14838695230145457,50.950608015060425
11,0.12085670223114889,0.17403717052493406,0.10391220082506915,0.1498670075224582,49.79970669746399
12,0.11867237146577644,0.17037361079738253,0.10329298397301605,0.14925138968119342,50.30609941482544
13,0.11640742061012871,0.16681182363578737,0.10433743422006343,0.15112397602089278,49.772162437438965
14,0.11485346594030303,0.16411778527393844,0.10451552902473395,0.151402827580821,49.46126127243042
15,0.11284143912924065,0.16076490084426023,0.10521940849897228,0.15202487696398487,50.79541230201721
16,0.11094071696275393,0.15792597030602307,0.10643776848189875,0.1539596711065267,50.080652475357056
17,0.10889157668219822,0.15451148603720316,0.10625470642852251,0.15417416916032659,50.82615876197815
18,0.10738279616679802,0.15204322256690223,0.10692081057056241,0.15435649687284464,50.1784565448761
19,0.10543600116594544,0.14915554893039804,0.10761235845492971,0.15424066565288386,49.86326742172241
20,0.10370516828121884,0.14639964297224659,0.10837366963816221,0.15636421800145567,50.201897382736206
21,0.10164515932962938,0.14296775150997637,0.10934553094965764,0.1569884143408559,51.29961633682251
22,0.10001477801082692,0.14047350843702758,0.10965487586613225,0.15771771647780813,52.78722834587097
23,0.09808698105623065,0.13748379293133792,0.11011986184508848,0.15765765458920747,50.95694589614868
24,0.09651149253270783,0.13523943105177655,0.11035542493723637,0.157265119845905,52.42964172363281
25,0.09496212887640419,0.13275643799794595,0.1110255719317944,0.1575825818934598,50.75412058830261
26,0.09331453522343329,0.13025844707583006,0.11118391512264668,0.15782496557502673,50.14312982559204
27,0.09210871811222843,0.1284426023385554,0.11249173480852742,0.1596718111272433,49.40953540802002
28,0.0908784985816072,0.12655310669206604,0.1128398709379517,0.15880093917551086,50.5583713054657
29,0.08952707743491783,0.1243906983886906,0.11381966722006452,0.1606821107383656,52.89910292625427
30,0.0885295101231273,0.122912044650125,0.11491827557445954,0.16174173984774087,56.76510691642761
31,0.08724276658102277,0.12101237072992341,0.1145953930713035,0.16053409956264578,56.68641757965088
32,0.08633402000672305,0.11961567007427051,0.11567309106281007,0.1619969931207773,56.71072173118591
33,0.08518922586161423,0.11781857367845422,0.1160610695219715,0.16238309645642543,53.726351499557495
34,0.0842162227077798,0.11643928158791832,0.11668202932404632,0.1621342747956067,49.311567068099976
35,0.08323278777930673,0.11492929222070511,0.11726273568159314,0.16270913362682043,49.52113151550293
36,0.08195998187457891,0.11305881169905935,0.11756296898228373,0.16316816573207443,50.73555064201355
37,0.08107940189995747,0.11174754667710884,0.11845588510842447,0.16374516733876118,49.222594261169434
38,0.08015477395755603,0.11030558429467249,0.11863515489298813,0.1630115795741517,49.5452082157135
39,0.07901049925987055,0.10865471964366077,0.11992114442246812,0.16521449759123102,49.596269369125366
40,0.07826793377756965,0.10756494460489852,0.1198871803930623,0.16469969942763046,50.13291883468628
