phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
pretrain,1,0.3174322686595917,0.316846520488739,0.16030587644672395,1.714017010870434,1.7139757678315446,0.4580523253177584,0.0009939057285945933,66.2
pretrain,2,0.2908255014629364,0.29080345178222655,0.1442504369211197,1.7980204852851662,1.7980101767756407,0.45706777478532695,0.0009757729755661012,26.1
pretrain,3,0.2878783077793121,0.2878710560379028,0.14280607701301576,2.0444459921298033,2.044443397090344,0.4596224681137458,0.0009460482294732422,26.1
pretrain,4,0.2861899711437225,0.28618524590301514,0.14197329669761657,2.083795655187953,2.083792074766859,0.45892963410446647,0.0009054634122155991,26.0
pretrain,5,0.28493613655662536,0.28492605615234373,0.14138267700862883,2.0686606595261523,2.0686349337421124,0.4604375708363998,0.0008550178566873411,26.1
pretrain,6,0.2838210448150635,0.2838175828151703,0.14082175694084167,2.1670075972568115,2.167006855816966,0.46039895658992175,0.0007959536998847743,26.1
pretrain,7,0.2826499155540466,0.2826481958065033,0.1402522369709015,2.1593523312924194,2.1593426691519246,0.4615401005550599,0.0007297252973710758,26.2
pretrain,8,0.2813179735851288,0.2813169102859497,0.13962985705566405,2.3067127881976783,2.3067090052077313,0.46385241226033047,0.0006579634122155991,26.1
pretrain,9,0.2801531132564545,0.28015241416740416,0.13904491694736482,2.3040274943675363,2.304026331220354,0.46225438652146994,0.0005824350601949144,26.1
pretrain,10,0.27911697042274475,0.2791165469493866,0.13854493691539765,2.3846716388823492,2.3846689115415463,0.4637623235346779,0.0005050000000000001,26.1
pretrain,11,0.2781664135837555,0.2781660063991547,0.13802177705860139,2.2428117855993377,2.242809639832126,0.4629643792018825,0.000427564939805086,26.1
pretrain,12,0.2773823796863556,0.2773820762996674,0.13762051695442198,2.2580111896158135,2.2580085904339464,0.46353495104381426,0.0003520365877844012,26.2
pretrain,13,0.2767306417331696,0.2767303512573242,0.13724459721851348,2.320079632860967,2.3200786530025423,0.46309093758304043,0.00028027470262892445,26.0
pretrain,14,0.27618563700675963,0.27618536110305786,0.13696289697360992,2.3111703991122843,2.311168093478818,0.46223722548507307,0.0002140463001152259,26.1
pretrain,15,0.27572594769477843,0.275725729221344,0.1366672968416214,2.415094392589109,2.4150933865465762,0.46374515985174275,0.00015498214331265904,26.1
pretrain,16,0.27535879467964175,0.27535858800315854,0.13648651696300507,2.298512208620298,2.2985108277154347,0.4627777695885957,0.00010453658778440108,26.1
pretrain,17,0.2750606781311035,0.27506051121902464,0.13633199711704255,2.380016766204081,2.3800156554251153,0.46368081024510316,6.395177052675796e-05,26.2
pretrain,18,0.27484737918281554,0.274847222951889,0.13619369713401794,2.3021034226812347,2.3021017013829645,0.4634791840457548,3.422702443389901e-05,26.0
pretrain,19,0.27469622909927366,0.274696081659317,0.1361101569519043,2.3232148424947994,2.323213225932962,0.463277551581654,1.6094271405406862e-05,26.0
pretrain,20,0.27460763749313355,0.2746074940662384,0.13605105723571778,2.3617343750188198,2.361733156741816,0.4634191243881731,1e-05,26.0
finetune,1,0.6257311719605865,0.6257288020892968,0.27840135420717343,0.3873083010373429,0.387307879496214,0.19431788649159099,0.0002991810233575568,4.2
finetune,2,0.3646233333323112,0.36462215351377725,0.18541030283256862,0.3508935967825452,0.35089255835507777,0.1792342310834473,0.0002967330663097039,2.2
finetune,3,0.34669810465838174,0.3466967801415829,0.17700867385280375,0.34192750048402143,0.3419241579828831,0.17474259470650588,0.0002926829491861254,2.2
finetune,4,0.33981384725421004,0.33981286516959147,0.17351544876567707,0.33730524044495086,0.3373045263910232,0.17215143509787686,0.00028707504591756876,2.2
finetune,5,0.33569121079341696,0.3356901912775029,0.1713479520074875,0.33417567504623424,0.33417512171517005,0.17056413123352954,0.00027997079786577355,2.2
finetune,6,0.33278414654619365,0.3327830432153385,0.16974636709209912,0.33212137562376604,0.3321207761253118,0.1696246218228739,0.0002714480406590546,2.3
finetune,7,0.33075412735283116,0.33075319610887693,0.16851009363449726,0.33040417905326364,0.3304036951458848,0.16855211772027828,0.0002616001514088704,2.2
finetune,8,0.32889854592071155,0.32889772648535237,0.1676321673903444,0.32919466044196033,0.3291941932448498,0.16780351427735712,0.0002505350256506492,2.2
finetune,9,0.32749125394487083,0.3274905822344627,0.1668303031549181,0.3281300745006285,0.3281296102313308,0.16711497021074306,0.00023837389521772463,2.2
finetune,10,0.32643853118936994,0.3264378775209484,0.16621698704195736,0.32732264494906166,0.32732185854363577,0.16652509305467936,0.00022524999999999992,2.2
finetune,11,0.32532149412340944,0.3253208624623164,0.16566419836503474,0.3266712389039359,0.32667074483231584,0.166186182879164,0.0002113071281398321,2.2
finetune,12,0.3245116548725556,0.3245111078357548,0.16529674471028075,0.32611074258666445,0.32611004213619926,0.1661625893611552,0.00019669804065905458,2.2
finetune,13,0.3237963298439335,0.3237957570611444,0.1648208225890535,0.3255985743213958,0.32559811625292456,0.16574216764124614,0.00018158279777725494,2.2
finetune,14,0.3231562761238388,0.323155520288797,0.16447881103756024,0.32511503560407023,0.32511389277258534,0.16551050548259919,0.00016612700525851415,2.2
