epoch,train_loss,val_ber,lr,elapsed_s
1,0.261974,0.191669,2.99e-04,39.7
2,0.248692,0.18414,2.97e-04,23.5
3,0.246023,0.172883,2.93e-04,24.9
4,0.244419,0.174781,2.87e-04,25.1
5,0.24334,0.175285,2.80e-04,23.6
6,0.242283,0.176433,2.71e-04,25.7
7,0.241523,0.161838,2.62e-04,25.1
8,0.240992,0.167053,2.51e-04,25.4
9,0.240257,0.163451,2.38e-04,23.5
10,0.23969,0.169547,2.25e-04,25.2
11,0.23913,0.163797,2.11e-04,25.1
12,0.23873,0.168007,1.97e-04,25.2
13,0.238287,0.162396,1.82e-04,23.8
14,0.237867,0.160828,1.66e-04,25.3
15,0.237518,0.166175,1.50e-04,25.3
16,0.237119,0.162235,1.35e-04,23.7
17,0.236755,0.169794,1.19e-04,25.1
18,0.23642,0.165894,1.04e-04,25.1
19,0.236141,0.162327,8.97e-05,25.1
20,0.235864,0.166568,7.58e-05,24.4
21,0.235546,0.163481,6.26e-05,25.8
22,0.235351,0.162527,5.05e-05,25.3
23,0.235121,0.162484,3.94e-05,25.3
24,0.234938,0.164211,2.96e-05,23.8
