epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.490114,0.270987,0.158666,1.75e-04,6.9
2,0.303081,0.153111,0.145824,3.00e-04,6.9
3,0.290999,0.146756,0.143183,2.98e-04,6.8
4,0.285718,0.143682,0.14112,2.95e-04,6.6
5,0.281615,0.141637,0.139852,2.90e-04,6.6
6,0.278525,0.139931,0.139189,2.83e-04,6.7
7,0.275722,0.138255,0.138908,2.75e-04,6.7
8,0.273299,0.136772,0.139335,2.65e-04,6.9
9,0.270456,0.135115,0.139826,2.54e-04,6.7
10,0.267211,0.13318,0.141396,2.41e-04,6.5
11,0.263247,0.130765,0.141456,2.27e-04,6.8
12,0.25823,0.127744,0.143589,2.13e-04,6.6
13,0.252537,0.12405,0.144603,1.97e-04,6.6
14,0.245506,0.119975,0.146821,1.81e-04,7.2
15,0.237724,0.115315,0.148175,1.65e-04,6.6
16,0.229141,0.110424,0.150792,1.48e-04,6.9
17,0.220533,0.105653,0.152447,1.32e-04,6.9
