epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.486694,0.267068,0.160982,1.75e-04,9.2
2,0.302081,0.152292,0.147643,3.00e-04,8.5
3,0.290263,0.146049,0.144803,2.98e-04,8.3
4,0.284636,0.143144,0.142735,2.95e-04,8.4
5,0.28095,0.140988,0.142201,2.90e-04,8.3
6,0.278038,0.139139,0.14142,2.83e-04,8.4
7,0.275705,0.137818,0.141332,2.75e-04,9.1
8,0.273062,0.136507,0.141493,2.65e-04,8.8
9,0.270209,0.134725,0.141401,2.54e-04,8.6
10,0.266766,0.132632,0.142838,2.41e-04,8.3
11,0.262855,0.130001,0.144183,2.27e-04,8.5
12,0.257602,0.126723,0.144758,2.13e-04,8.4
13,0.251684,0.123002,0.146523,1.97e-04,8.4
14,0.24436,0.118587,0.149215,1.81e-04,9.3
15,0.236703,0.113984,0.150884,1.65e-04,9.0
16,0.228298,0.10926,0.152638,1.48e-04,8.8
17,0.219911,0.104535,0.154582,1.32e-04,8.7
