phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
pretrain,1,0.3167904394626617,0.31619502097511293,0.1603165765390396,1.7727121529994425,1.7726833449571955,0.4607850606223638,0.0009939057285945933,44.5
pretrain,2,0.27018520226478576,0.27017392400550844,0.13381747710323333,2.2875657718818827,2.2874965974569625,0.4745173647213473,0.0009757729755661012,30.2
pretrain,3,0.26245323375701907,0.26244518539619444,0.1299243571844101,2.1850244638900396,2.1850107100735094,0.47466322329616095,0.0009460482294732422,30.2
pretrain,4,0.2601561121635437,0.26014955629730224,0.12873223718214036,2.3108384892542646,2.310821364540647,0.47477476509125743,0.0009054634122155991,30.2
pretrain,5,0.25889194715309144,0.2588868305511475,0.12810969711017609,2.33697022240032,2.3369556251691166,0.4743543452507741,0.0008550178566873411,30.2
pretrain,6,0.25793867319774627,0.25793428313350675,0.1275500370669365,2.454080066369972,2.4540616695791906,0.4740218744161353,0.0007959536998847743,30.2
pretrain,7,0.256996670085907,0.25699311953735354,0.12710639713954924,2.4269933310868352,2.426988513108642,0.47541826322885705,0.0007297252973710758,30.3
pretrain,8,0.2562882890110016,0.25628511079978944,0.12676749731349946,2.4531057419975344,2.453096949455821,0.4749957023516892,0.0006579634122155991,30.4
pretrain,9,0.2556947753162384,0.2556924984302521,0.12639417706489564,2.53357094104379,2.533556696582076,0.47565206343244965,0.0005824350601949144,30.2
pretrain,10,0.25512545249462126,0.25512327412319186,0.1261139971408844,2.507910666574178,2.5079008886508296,0.47602315707965653,0.0005050000000000001,30.1
pretrain,11,0.2545711214370728,0.25456909977340697,0.12582257726430893,2.543124758394324,2.5431210952784973,0.4762934297898561,0.000427564939805086,30.2
pretrain,12,0.2540635284080505,0.25406190577316284,0.1255336970977783,2.509564887091409,2.5095614885782696,0.47573143031555204,0.0003520365877844012,30.2
pretrain,13,0.2536287361822128,0.2536271950559616,0.12529831713438033,2.528048346350501,2.5280437267987526,0.4764135454868053,0.00028027470262892445,30.2
pretrain,14,0.25324064959907533,0.2532392188873291,0.1250921172323227,2.550195276251375,2.5501740087208855,0.47617116045000624,0.0002140463001152259,30.2
