epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.463399,0.255254,0.157999,1.75e-04,11.9
2,0.299255,0.151299,0.14701,3.00e-04,9.1
3,0.288194,0.14522,0.144318,2.98e-04,9.1
4,0.281986,0.141761,0.142267,2.95e-04,9.5
5,0.277886,0.139462,0.141409,2.90e-04,9.2
6,0.274258,0.137174,0.141446,2.83e-04,9.1
7,0.270545,0.13508,0.142201,2.75e-04,9.0
8,0.265568,0.132156,0.142786,2.65e-04,9.5
9,0.259222,0.128246,0.144028,2.54e-04,9.4
10,0.250386,0.123096,0.146958,2.41e-04,9.0
11,0.23926,0.116295,0.150024,2.27e-04,9.4
12,0.224918,0.108008,0.152166,2.13e-04,9.1
13,0.208745,0.099077,0.155448,1.97e-04,9.1
14,0.19105,0.089621,0.157505,1.81e-04,8.6
15,0.17399,0.080982,0.160899,1.65e-04,9.0
