epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.850881,0.339462,0.193998,1.75e-04,6.4
2,0.31827,0.163907,0.14964,3.00e-04,6.1
3,0.294831,0.150405,0.145448,2.98e-04,6.1
4,0.28943,0.146945,0.143608,2.95e-04,6.1
5,0.286087,0.145096,0.143366,2.90e-04,6.0
6,0.283821,0.143489,0.141761,2.83e-04,6.1
7,0.281896,0.142208,0.140386,2.75e-04,6.1
8,0.280077,0.14105,0.140245,2.65e-04,6.1
9,0.279032,0.140521,0.140135,2.54e-04,6.0
10,0.277512,0.139589,0.139281,2.41e-04,6.6
11,0.276187,0.13885,0.139496,2.27e-04,6.3
12,0.274974,0.138165,0.138745,2.13e-04,6.3
13,0.274094,0.137467,0.138749,1.97e-04,6.3
14,0.27274,0.136836,0.138468,1.81e-04,6.2
15,0.271934,0.136176,0.138526,1.65e-04,6.2
16,0.270934,0.135744,0.138102,1.48e-04,6.3
17,0.27,0.135091,0.138421,1.32e-04,6.2
18,0.269047,0.134468,0.138085,1.15e-04,6.1
19,0.268252,0.134016,0.138552,9.94e-05,6.2
20,0.267596,0.133631,0.138775,8.41e-05,6.4
21,0.266754,0.133203,0.138859,6.97e-05,6.3
22,0.266073,0.13291,0.138668,5.62e-05,6.2
23,0.265518,0.13242,0.13881,4.39e-05,6.2
24,0.265091,0.132211,0.139369,3.30e-05,6.3
25,0.264525,0.131946,0.138878,2.35e-05,6.1
26,0.264236,0.131651,0.139239,1.55e-05,6.2
27,0.264,0.131519,0.138872,9.22e-06,6.5
28,0.2638,0.131475,0.138889,4.67e-06,6.4
