phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
finetune,1,0.6178181709436237,0.6141480936753271,0.36980394605040146,0.47365864927244,0.47335526302412106,0.23769626062937121,0.0002991810233575568,22.5
finetune,2,0.41867551568318295,0.41838224628970455,0.21141919325978303,0.3763860848675159,0.3761334431524289,0.19160445722987446,0.0002967330663097039,4.1
finetune,3,0.3659451806546535,0.36581137771905026,0.18700010307415355,0.34956532223242026,0.3494312360863581,0.1786100327879101,0.0002926829491861254,4.0
finetune,4,0.3496468332323496,0.34953678697962237,0.17882612535812914,0.33909308378505176,0.3389946711211693,0.1735649908281917,0.00028707504591756876,4.0
finetune,5,0.34092410346571445,0.34081151790314695,0.1744514935341586,0.3327994050896766,0.3327130363868164,0.1709116205656186,0.00027997079786577355,7.1
finetune,6,0.33545596575857045,0.33536329136879917,0.1716904991116149,0.32823241931949243,0.3281886275236006,0.16860359828521232,0.0002714480406590546,4.1
finetune,7,0.33160681674965603,0.33154591542050404,0.16957308503647137,0.32519476710855066,0.3251537514034641,0.1665529772441104,0.0002616001514088704,4.3
finetune,8,0.32865884252292854,0.328605218637072,0.16818066959248543,0.3230674326777816,0.3230111564831998,0.16608107899300073,0.0002505350256506492,4.3
finetune,9,0.32658720175476297,0.32653573805597896,0.16728506879840616,0.3222212535994394,0.3221876666122422,0.16582367681398355,0.00023837389521772463,4.2
finetune,10,0.32502869627517755,0.32498323880832425,0.1663310798934164,0.320136908769403,0.3201055093186958,0.16456027210704863,0.00022524999999999992,4.2
finetune,11,0.3232333364528966,0.32318829487921613,0.16532888395362677,0.3189481720552072,0.31891534122363124,0.16362076057404829,0.0002113071281398321,4.3
finetune,12,0.32221977433852333,0.32217100425948864,0.16473458401391475,0.3180160408928281,0.3179686304224964,0.163213208829165,0.00019669804065905458,7.3
finetune,13,0.3208646241109943,0.32082294838309344,0.16408591425149388,0.3171086183488241,0.31708157256865693,0.16278635451896975,0.00018158279777725494,4.2
finetune,14,0.3197776401210236,0.31973989785269896,0.16343322820748762,0.3163957822762657,0.31636160319325035,0.16229300577463587,0.00016612700525851415,4.1
finetune,15,0.31839185714166146,0.3183516907739208,0.16273929632797487,0.315029821161649,0.3149986315290082,0.1611625876793888,0.0001505,4.2
finetune,16,0.3167429871286869,0.316696451698631,0.16163613148561612,0.3136409136907372,0.31361155858217826,0.16001072264520563,0.0001348729947414858,4.1
finetune,17,0.314650650928014,0.3146183842142493,0.1602238966998638,0.31149060597802275,0.3114653660319282,0.15895108973862326,0.00011941720222274492,4.2
finetune,18,0.31271509569250233,0.3126857079399105,0.15906475639696374,0.3098558821375408,0.30983034214815935,0.1577734833224451,0.00010430195934094534,4.3
finetune,19,0.3109768033235175,0.31094560722813325,0.1579934616870825,0.30849782463461994,0.3084725035408033,0.15677606030269428,8.969287186016786e-05,4.1
finetune,20,0.3094942300731148,0.30946545665798847,0.15729256657771482,0.30699348302677126,0.3069655407988836,0.1563534924256244,7.575000000000001e-05,7.2
finetune,21,0.30829682070764913,0.30826856862803315,0.15672237157017094,0.30608295117105755,0.3060579911187604,0.15581295424165362,6.262610478227527e-05,4.1
finetune,22,0.3073558900935322,0.3073292112345994,0.1562523393530028,0.30558710711189524,0.30556309082537747,0.1557979377962294,5.046497434935074e-05,4.3
finetune,23,0.30666815630688116,0.3066393004432923,0.1558538183040717,0.3050604271356868,0.30503520866874356,0.1553625020984415,3.939984859112959e-05,2.3
finetune,24,0.3060634935254666,0.3060363011643298,0.1555546589793962,0.30459161153273334,0.3045672703229118,0.1549806910387593,2.9551959340945373e-05,2.4
finetune,25,0.3056325271284263,0.30560734822234276,0.15534522091514189,0.3042990082914049,0.304275886215196,0.15495495251425853,2.1029202134226415e-05,2.3
finetune,26,0.30528794916979124,0.30526175828417823,0.155194168278328,0.3042071070194449,0.30418347535037216,0.1549334997900153,1.3924954082431155e-05,2.3
finetune,27,0.30509506735480385,0.30506985505619905,0.15511194654110383,0.30402198390406326,0.30399796343678215,0.1548326860638659,8.317050813874547e-06,2.3
finetune,28,0.30494760074480876,0.30492234875127927,0.15500562166122372,0.30395782597327836,0.3039345987770804,0.15480908989931882,4.26693369029605e-06,2.2
finetune,29,0.30486611941706304,0.304842089754556,0.15493786120681005,0.30386417431669754,0.3038412000119354,0.15480909278877608,1.8189766424431266e-06,2.2
finetune,30,0.30479525943970703,0.3047704375676487,0.15492955904269015,0.3039344029971736,0.30391100233125873,0.15490132411730131,1e-06,2.3
