epoch,train_loss,val_ber,lr,elapsed_s
1,0.261748,0.191321,2.99e-04,40.4
2,0.248735,0.173529,2.97e-04,23.9
3,0.245897,0.170819,2.93e-04,25.8
4,0.24431,0.169991,2.87e-04,25.2
5,0.243014,0.16882,2.80e-04,26.4
6,0.242309,0.17405,2.71e-04,24.0
7,0.241409,0.166847,2.62e-04,26.2
8,0.240675,0.17464,2.51e-04,25.6
9,0.24019,0.170995,2.38e-04,26.7
10,0.23966,0.16639,2.25e-04,23.9
11,0.239023,0.171118,2.11e-04,25.6
12,0.238608,0.164346,1.97e-04,25.4
13,0.238112,0.168003,1.82e-04,23.4
14,0.237668,0.170495,1.66e-04,25.0
15,0.237376,0.16758,1.50e-04,25.4
16,0.237047,0.167973,1.35e-04,25.1
17,0.236536,0.166881,1.19e-04,24.8
18,0.236318,0.167589,1.04e-04,25.1
19,0.235981,0.169131,8.97e-05,25.1
20,0.235742,0.169106,7.58e-05,25.1
21,0.235464,0.168147,6.26e-05,23.7
22,0.235267,0.167932,5.05e-05,25.1
