epoch,train_loss,train_ber,val_ber,lr,elapsed_s
1,0.490472,0.267297,0.160292,1.75e-04,8.7
2,0.305142,0.153969,0.146441,3.00e-04,8.8
3,0.291746,0.146975,0.143477,2.98e-04,8.4
4,0.28617,0.143814,0.141347,2.95e-04,8.2
5,0.282349,0.141928,0.140592,2.90e-04,8.2
6,0.27957,0.140424,0.140225,2.83e-04,8.4
7,0.277087,0.138923,0.140154,2.75e-04,8.5
8,0.274774,0.137534,0.140425,2.65e-04,8.2
9,0.272154,0.13616,0.14041,2.54e-04,8.4
10,0.268845,0.134114,0.14127,2.41e-04,8.9
11,0.265165,0.131707,0.142014,2.27e-04,8.2
12,0.260264,0.128806,0.144206,2.13e-04,8.1
13,0.254789,0.125234,0.14512,1.97e-04,8.0
14,0.247899,0.121099,0.146791,1.81e-04,8.2
15,0.240592,0.11667,0.148142,1.65e-04,8.2
16,0.232512,0.11222,0.149657,1.48e-04,8.1
17,0.224683,0.107628,0.151821,1.32e-04,9.6
