phase,epoch,train_loss,train_bce,train_ber,val_loss,val_bce,val_ber,lr,elapsed_s
pretrain,1,0.31425638017845153,0.31322238711738587,0.15778293642711638,1.4405481960066702,1.421232452007999,0.46055339805459017,0.0009939057285945933,44.7
pretrain,2,0.28071363204193117,0.2802992382144928,0.14038295685100555,1.5238534051018793,1.5045497050258747,0.4620162902574895,0.0009757729755661012,30.1
pretrain,3,0.2749251695213318,0.27454901935386655,0.13875867681694032,1.5103752976678972,1.4898495001119894,0.46356927410106913,0.0009460482294732422,30.0
pretrain,4,0.27230801375579833,0.27195001119232176,0.1376542370223999,1.6071043894148753,1.5881310176153849,0.4633483399090875,0.0009054634122155991,30.1
pretrain,5,0.2705436207962036,0.27020935291099546,0.1362600368909836,1.5982100946204645,1.576130810596052,0.46606605876826873,0.0008550178566873411,30.1
pretrain,6,0.2659408135471344,0.26561247724723813,0.13101493706941605,1.8021551615073925,1.7850949908980276,0.4717159845807531,0.0007959536998847743,30.1
pretrain,7,0.25947949143600463,0.2591512188091278,0.12764285718536378,1.8313757889468185,1.8116130116465572,0.47397682445338746,0.0007297252973710758,30.1
pretrain,8,0.25791901563835146,0.25761435245513914,0.12694189706325532,1.9574842603868396,1.9375833834971752,0.4767631818198789,0.0006579634122155991,30.2
pretrain,9,0.2570228731441498,0.2567298484745026,0.12649685711956024,1.8965504291690711,1.8770811143529,0.47504503551290456,0.0005824350601949144,30.1
pretrain,10,0.2564107396221161,0.25611812577819826,0.12620855689620972,1.8221241544112274,1.7986054787662396,0.47645859128157503,0.0005050000000000001,30.1
pretrain,11,0.25579938714790346,0.2555199362239838,0.12586889722776412,1.9162736368097495,1.8951676661545809,0.4768168040863284,0.000427564939805086,30.1
pretrain,12,0.25526899442195894,0.25500660348033904,0.12564359725618363,1.963635505703272,1.9413323609525173,0.4766494943214966,0.0003520365877844012,30.1
pretrain,13,0.25485081827926637,0.25459418951034546,0.12541365709400176,2.006058819454558,1.9851432354958565,0.477057047600605,0.00028027470262892445,30.1
